left,right
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
5,4
4,4
1391,1386
1634,1379
1416,723
1516,1081
1308,1323
1336,1549
1200,1615
960,1523
1057,1565
926,1438
883,1155
1270,1158
985,955
902,1051
1142,1162
1079,1046
1214,1053
1264,1073
1107,874
1255,1161
1100,1130
957,1064
1175,1210
992,1006
1022,968
1117,1048
977,779
1059,939
954,891
820,874
1006,1104
942,971
953,970
1213,1215
978,1096
1007,1082
1073,1024
960,875
1067,992
936,1070
855,986
1092,1087
921,1036
889,990
1106,1221
990,1078
1038,1142
1086,1125
1050,949
1209,1100
1095,1078
944,996
1152,1331
978,1103
908,1032
1044,1120
945,1045
1046,1121
1156,1115
1019,1059
1196,1208
1096,1098
984,1065
865,1055
921,905
946,975
873,1042
836,951
838,922
817,907
795,846
799,841
769,804
672,735
682,791
769,875
886,862
932,907
938,957
909,902
902,917
880,864
753,773
750,778
779,806
799,829
798,804
804,845
841,889
854,874
769,802
737,779
791,931
897,979
939,894
877,856
759,834
725,861
777,857
750,816
826,806
918,933
925,958
818,854
708,791
750,761
832,854
920,955
924,955
857,1039
910,984
884,895
828,856
890,909
962,945
908,800
751,695
681,684
662,811
698,880
711,810
722,754
766,828
789,878
773,903
819,981
930,859
883,886
775,915
773,844
756,854
895,909
918,971
717,812
625,696
579,669
580,653
568,623
574,616
571,619
562,626
572,638
568,659
574,636
570,631
570,613
577,617
594,642
695,785
697,805
631,780
690,800
849,788
857,884
801,986
729,884
640,731
586,660
582,640
566,655
578,648
590,620
727,648
779,777
755,860
708,978
735,934
831,848
864,848
865,825
791,774
674,760
619,701
584,667
572,839
710,875
825,851
769,756
770,665
881,680
796,799
692,803
678,777
738,742
843,738
891,743
844,830
868,901
961,917
857,808
710,735
752,781
815,814
852,832
869,750
784,692
725,688
723,742
721,804
730,797
739,816
778,824
886,804
939,759
922,775
854,845
853,887
874,845
845,735
755,716
730,838
714,955
681,846
690,692
756,663
894,712
854,799
811,764
758,808
730,885
704,830
711,719
868,667
1046,754
1062,941
842,952
677,831
613,740
644,802
732,833
784,762
804,748
891,790
855,834
741,754
700,808
700,889
701,903
630,779
640,686
717,721
809,755
836,854
759,815
717,826
666,852
619,771
596,699
607,754
692,789
739,780
826,824
835,833
865,920
861,985
766,905
654,802
606,723
648,700
676,740
706,715
716,702
767,758
771,921
738,974
686,880
706,774
783,724
855,777
832,809
807,851
767,907
758,892
666,810
619,760
702,783
718,783
668,760
667,729
724,826
776,891
782,834
681,817
662,780
774,818
836,938
755,936
715,802
706,750
741,775
765,780
783,826
871,756
923,651
853,611
768,638
795,694
837,787
901,972
982,978
847,857
854,805
917,819
888,859
851,734
823,636
884,689
988,876
947,966
822,878
831,772
935,725
915,768
899,790
866,762
791,776
730,790
652,851
719,784
768,771
878,798
900,811
838,801
800,769
700,762
601,719
584,744
659,816
846,813
961,818
922,820
870,758
798,742
715,836
752,923
848,947
820,887
833,737
792,673
704,670
706,692
711,777
697,817
630,832
636,724
715,712
830,772
909,843
821,858
775,809
774,823
732,787
659,791
618,740
656,713
720,715
800,744
762,812
797,829
779,780
676,714
640,748
726,862
818,955
868,887
774,754
713,689
666,756
624,773
650,751
719,706
780,754
772,775
706,840
713,824
683,742
756,758
826,824
767,866
685,848
676,825
685,764
670,788
733,841
899,928
902,982
708,814
610,694
575,754
581,863
616,807
665,710
739,701
732,787
712,837
658,832
644,756
725,816
779,759
784,724
761,777
794,773
777,804
760,829
813,872
797,788
710,755
767,764
891,899
1028,993
886,810
678,684
603,646
586,650
681,677
852,797
928,843
897,893
915,892
960,837
842,781
787,790
776,836
783,866
823,802
860,771
907,739
880,787
842,756
781,691
676,771
608,720
582,646
652,661
732,706
791,744
844,821
1005,822
922,908
891,1001
880,949
716,839
660,771
745,802
761,824
724,746
722,763
726,793
789,839
810,819
765,785
756,827
802,864
697,829
615,698
582,677
553,703
569,722
622,759
655,704
722,661
714,695
654,757
692,829
782,907
733,943
673,799
693,730
681,710
731,726
741,759
671,769
674,826
663,874
670,892
659,808
634,686
637,616
706,636
830,808
807,950
749,965
748,960
744,919
677,788
610,701
643,658
692,687
792,797
738,821
790,838
786,933
708,794
652,671
602,631
639,679
700,825
754,926
783,862
842,798
825,851
700,811
642,778
650,712
667,655
692,637
690,689
710,795
783,913
826,869
821,779
846,821
890,877
813,849
731,838
779,793
816,758
894,829
942,882
873,836
813,772
764,743
737,775
729,851
798,831
833,791
911,850
870,869
721,796
698,744
806,787
805,802
773,805
711,748
718,684
750,750
784,761
784,761
766,792
845,793
859,910
879,1048
969,1026
843,1039
756,926
717,769
744,692
687,630
657,611
668,617
663,674
618,791
626,942
748,942
818,900
844,896
818,858
771,803
723,701
708,697
729,721
715,820
700,901
729,935
777,916
812,829
880,822
784,798
640,722
594,652
624,667
762,803
847,854
787,770
725,727
740,807
717,857
725,831
696,824
746,891
875,889
864,780
809,771
773,790
758,787
700,791
651,762
659,759
654,746
667,700
657,674
675,693
