left,right
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
1474,1576
749,916
752,924
800,954
843,964
859,990
826,954
642,819
641,813
629,819
628,820
641,825
638,815
628,816
634,818
630,819
620,809
632,824
629,813
624,821
628,818
632,819
621,822
627,813
631,814
622,815
616,822
631,814
630,807
623,822
632,818
619,820
622,823
631,818
614,824
623,821
633,833
628,810
631,825
634,808
623,823
627,819
634,825
623,1023
633,1219
632,1114
623,1137
631,1192
625,1206
636,1220
628,1214
628,1228
633,1211
632,1176
628,1204
630,1222
630,1237
628,1268
625,1248
627,1280
622,1309
616,1310
620,1347
623,1334
627,1276
636,1302
629,1276
635,1305
630,1323
626,1365
618,1346
619,1362
630,1332
634,1358
628,1415
624,1426
618,1441
632,1453
633,1455
627,1461
627,1449
638,1455
633,1533
617,1547
632,1591
624,1595
632,1574
622,1580
631,1544
636,962
620,819
622,815
627,820
625,810
615,824
630,817
625,814
618,810
631,826
626,811
616,822
631,814
634,809
618,819
627,826
630,813
621,816
624,818
634,817
628,823
617,812
623,827
738,807
1298,819
1369,833
1331,812
1245,810
1274,817
1347,800
1414,817
1450,829
1454,825
1463,806
1483,815
1527,820
1514,828
1481,827
1437,819
1455,798
1458,802
1447,807
1472,813
1495,813
1500,814
1554,806
1610,802
1594,828
1596,822
1538,842
1511,828
1523,822
1563,836
1382,832
720,831
630,813
615,812
623,826
627,818
611,817
614,826
624,813
615,822
626,816
618,818
608,821
618,822
621,815
613,830
621,815
613,827
624,814
615,815
596,825
616,820
623,813
606,825
624,808
618,812
528,682
494,665
463,598
423,575
406,523
334,477
4,100
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
